Application_Domain,Application_Name,Project_Id,BRD_Req_ID,Req_Description,TC_ID,Test_case_summary,Test_case_description,TC_ID_Step,Test_Steps,Expected_results,Fun_ID,Impact_Fucntionality,Impacted_Component,Component_ID,DataSourceId,Impact_Table,Impact_Column,Precondition_Fucntionality,Precondition_Table,Precondition_Column,Keywords,Test_Data,TD_ID
Member,Omni,p12345,BRD_02/PS_OS1.18,Registration and Account Login,BRD_02/PS_OS1.18_TC11,Registration and Account Login,Enter  email and password and press “Register” button.,BRD_02/PS_OS1.18_TC11_4,Validate if  Password is correct or not as per the formats,Information message displayed to indicate successful registration. Update personal detail page is re-directed.,BRD_02/PS_OS1.18_F1,Registration and Account Login,component-3,1004,1040,Account,"Email_ID,Registered",Registration and Account Login,,,,"Email_ID,Registered",1043
Member,Omni,p12345,BRD_02/PS_OS1.18,Registration and Account Login,BRD_02/PS_OS1.18_TC11,Registration and Account Login,Enter  email and password and press “Register” button.,BRD_02/PS_OS1.18_TC11_5,Validate if  email and Password is correct or not as per records,"Greeting message displayed. Once user click “OK” on the message, home page is redirected.",BRD_02/PS_OS1.18_F1,Registration and Account Login,component-9,1003,1040,Account,"Email_ID,Registered",Registration and Account Login,,,,"Email_ID,Registered",1043
Member,Omni,p12345,BRD_01/OHRM_1.14,Admin Lgin,BRD_01/OHRM_1.14_TC5,Admin login,Validate username and Password,BRD_01/OHRM_1.14_TC5_1,Validate User name,Username Validation,BRD_01/OHRM_1.14_F1,Admin login ,component-4,1001,1017,Admin,"Username,Password",User must now Username and Password,,,,"Username,Password",1022
Member,Omni,p12345,BRD_01/OHRM_1.14,Admin Lgin,BRD_01/OHRM_1.14_TC5,Admin login,Validate username and Password,BRD_01/OHRM_1.14_TC5_2,Validate Password,Password Validation,BRD_01/OHRM_1.14_F1,Admin login ,component-9,1003,1017,Admin,"Username,Password",User must now Username and Password,,,,"Username,Password",1022
Member,Omni,p12345,BRD_01/HF_RD1.1,"Patients can make appointments, via the Administrator, with a particular Doctor, date and time.  An appointment can include multiple Patients.",BRD_01/HF_RD1.1_TC1,Book Appointment,when the user selects the Book Appointment menu,BRD_01/HF_RD1.1_TC1_2,The system displays the Make Appointment  Form,Appointment' form is displayed,BRD_01/HF_RD1.1_F1,Book Appointment functionality,component-10,1002,1002,Appointment ,doctor  name,The User is logged in and at the main menu,,,,doctor  name,1002
Member,Omni,p12345,BRD_01/HF_RD1.1,"Patients can make appointments, via the Administrator, with a particular Doctor, date and time.  An appointment can include multiple Patients.",BRD_01/HF_RD1.1_TC1,Book Appointment,when the user selects the Book Appointment menu,BRD_01/HF_RD1.1_TC1_3,The user enters either a Doctor and a date or a Patient name,"Fill the doctor name, date and patient name  in the form",BRD_01/HF_RD1.1_F1,Book Appointment functionality,component-9,1003,1041,Appointment ,"Patient name,doctor name, availability  of doctor  and date ",The User is logged in and at the main menu,,,,"Patient name,doctor name, availability  of doctor  and date ",1003
Member,Omni,p12345,BRD_01/HF_RD1.1,"Patients can make appointments, via the Administrator, with a particular Doctor, date and time.  An appointment can include multiple Patients.",BRD_01/HF_RD1.1_TC1,Book Appointment,when the user selects the Book Appointment menu,BRD_01/HF_RD1.1_TC1_4,"If multiple Patients have the name ,The system prompts for a first name and initial ",if Patient names are similar Form should display a msg to enter initail ,BRD_01/HF_RD1.1_F1,Book Appointment functionality,component-9,1003,1041,Appointment ,"Patient name,doctor name, availability  of doctor  and date ",The User is logged in and at the main menu,,,,"Patient name,doctor name, availability  of doctor  and date ",1003
Member,Omni,p12345,BRD_01/HF_RD1.1,"Patients can make appointments, via the Administrator, with a particular Doctor, date and time.  An appointment can include multiple Patients.",BRD_01/HF_RD1.1_TC1,Book Appointment,when the user selects the Book Appointment menu,BRD_01/HF_RD1.1_TC1_5,"If the Patient name is entered and the system does not recognize the name,An error message: Patient name not recognized is displayed and The system reprompts for valid information",error message: Patient name not recognized is displayed and The system reprompts for valid information,BRD_01/HF_RD1.1_F1,Book Appointment functionality,component-9,1003,1041,Appointment ,"Patient name,doctor name, availability  of doctor  and date ",The User is logged in and at the main menu,,,,"Patient name,doctor name, availability  of doctor  and date ",1003
Member,Omni,p12345,BRD_01/HF_RD1.1,"Patients can make appointments, via the Administrator, with a particular Doctor, date and time.  An appointment can include multiple Patients.",BRD_01/HF_RD1.1_TC1,Book Appointment,when the user selects the Book Appointment menu,BRD_01/HF_RD1.1_TC1_6,The system displays the list of appointments for one day corresponding to the date entered or the next appointment for the Patient.  The form displays times and names.,Dates and names  to be displayed ,BRD_01/HF_RD1.1_F1,Book Appointment functionality,component-3,1004,1041,Appointment ,"Patient name,doctor name, availability  of doctor  and date ",The User is logged in and at the main menu,,,,Zipcode,1004
Member,Omni,p12345,BRD_01/HF_RD1.1,"Patients can make appointments, via the Administrator, with a particular Doctor, date and time.  An appointment can include multiple Patients.",BRD_01/HF_RD1.1_TC1,Book Appointment,when the user selects the Book Appointment menu,BRD_01/HF_RD1.1_TC1_9,The user can enter Submit to save the changes.,Save data or Submit the data,BRD_01/HF_RD1.1_F1,Book Appointment functionality,component-6,1006,1004,Appointment ,"Patient name,doctor name, availability  of doctor  and appointment date",The User is logged in and at the main menu,,,,"Patient name,doctor name, availability  of doctor  and appointment date",1005
Member,Omni,p12345,BRD_01/HF_RD1.1,"Patients can make appointments, via the Administrator, with a particular Doctor, date and time.  An appointment can include multiple Patients.",BRD_01/HF_RD1.1_TC1,Book Appointment,when the user selects the Book Appointment menu,BRD_01/HF_RD1.1_TC1_10,The system displays a popup: “Appointments saved”,popup: “Appointments saved”,BRD_01/HF_RD1.1_F1,Book Appointment functionality,component-6,1006,1004,Appointment ,"Patient name,doctor name, availability  of doctor  and appointment date",The User is logged in and at the main menu,,,,"Patient name,doctor name, availability  of doctor  and appointment date",1005
Member,Omni,p12345,BRD_01/HF_RD1.2,Retrieve/Update Patient Information,BRD_01/HF_RD1.2_TC1,Retrieve/Update Patient Information,Manage Patient Details,BRD_01/HF_RD1.2_TC1_1,The use case begins when the user selects “Manage Patient”,Retrieve the patient information,BRD_01/HF_RD1.2_F1,Patient information functionality,component-3,1004,1004,Appointment ,"Patient name,doctor name, availability  of doctor  and appointment date",The user is at the main menu,,,,"Patient name,doctor name, availability  of doctor  and appointment date",1005
Member,Omni,p12345,BRD_01/HF_RD1.2,Retrieve/Update Patient Information,BRD_01/HF_RD1.2_TC1,Retrieve/Update Patient Information,Manage Patient Details,BRD_01/HF_RD1.2_TC1_2,The user can enter last name and first name (and optionally middle initial) and press ‘Retrieve’.,Retrieve the patient information,BRD_01/HF_RD1.2_F1,Patient information functionality,component-6,1006,1004,Appointment ,"Patient name,doctor name, availability  of doctor  and appointment date",The user is at the main menu,,,,"Patient name,doctor name, availability  of doctor  and appointment date",1005
Member,Omni,p12345,BRD_01/HF_RD1.2,Retrieve/Update Patient Information,BRD_01/HF_RD1.2_TC1,Retrieve/Update Patient Information,Manage Patient Details,BRD_01/HF_RD1.2_TC1_3,"The system displays an error message: “No Match” or “Multiple Entries”, and requests the user revise the information.","error message: “No Match” or “Multiple Entries”, and requests the user revise the information.",BRD_01/HF_RD1.2_F1,Patient information functionality,component-2,1007,1004,Appointment ,"Patient name,doctor name, availability  of doctor  and appointment date",The user is at the main menu,,,,"Patient name,doctor name, availability  of doctor  and appointment date",1005
Member,Omni,p12345,BRD_01/HF_RD1.2,Retrieve/Update Patient Information,BRD_01/HF_RD1.2_TC1,Retrieve/Update Patient Information,Manage Patient Details,BRD_01/HF_RD1.2_TC1_4,"The system retrieves Patient Information like Patient Medical History , Patient Medical Information and if insured: Patient Plan Management or if not: Patient Bill Management.",Retrieve the patient information,BRD_01/HF_RD1.2_F1,Patient information functionality,component-10,1002,1004,Appointment ,"Patient name,doctor name, availability  of doctor  and appointment date",The user is at the main menu,,,,"Patient name,doctor name, availability  of doctor  and appointment date",1005
Member,Omni,p12345,BRD_01/HF_RD1.2,Retrieve/Update Patient Information,BRD_01/HF_RD1.2_TC1,Retrieve/Update Patient Information,Manage Patient Details,BRD_01/HF_RD1.2_TC1_5,The user may modify Patient information and press ‘Save’,Update the patient information,BRD_01/HF_RD1.2_F1,Patient information functionality,component-10,1002,1004,Appointment ,"Patient name,doctor name, availability  of doctor  and appointment date",The user is at the main menu,,,,"Patient name,doctor name, availability  of doctor  and appointment date",1005
Member,Omni,p12345,BRD_01/HF_RD1.2,Retrieve/Update Patient Information,BRD_01/HF_RD1.2_TC1,Retrieve/Update Patient Information,Manage Patient Details,BRD_01/HF_RD1.2_TC1_6,The system displays the message “Record Saved”,Update the patient information and message “Record Saved”,BRD_01/HF_RD1.2_F1,Patient information functionality,component-5,1005,1004,Appointment ,"Patient name,doctor name, availability  of doctor  and appointment date",The user is at the main menu,,,,Gender,1006
Member,Omni,p12345,BRD_01/HF_RD1.3,Create Patient Information,BRD_01/HF_RD1.3_TC1,Create Patient Information,Manage Patient and Book Appointment,BRD_01/HF_RD1.3_TC1_1,User case begins when the user selects “Manage Patient” or as an extension to Make Appointment,Display Patient information,BRD_01/HF_RD1.3_F1,Patient information functionality,component-6,1006,1004,Appointment ,"Patient name,doctor name, availability  of doctor  and appointment date",The user is at the main menu,,,,"Patient name,doctor name, availability  of doctor  and appointment date",1005
Member,Omni,p12345,BRD_01/HF_RD1.3,Create Patient Information,BRD_01/HF_RD1.3_TC1,Create Patient Information,Manage Patient and Book Appointment,BRD_01/HF_RD1.3_TC1_2,User can enter last name and first name (and optionally middle initial) and press ‘Create’.,create the patient information,BRD_01/HF_RD1.3_F1,Patient information functionality,component-1,1008,1004,Appointment ,"Patient name,doctor name, availability  of doctor  and appointment date",The user is at the main menu,,,,"Patient name,doctor name, availability  of doctor  and appointment date",1005
Member,Omni,p12345,BRD_01/HF_RD1.3,Create Patient Information,BRD_01/HF_RD1.3_TC1,Create Patient Information,Manage Patient and Book Appointment,BRD_01/HF_RD1.3_TC1_3,"The system displays an error message: “Match Exists”, and requests the user revise the information.","error message: “Match Exists”, and requests the user revise the information.",BRD_01/HF_RD1.3_F1,Patient information functionality,component-1,1008,1004,Appointment ,"Patient name,doctor name, availability  of doctor  and appointment date",The user is at the main menu,,,,"Patient name,doctor name, availability  of doctor  and appointment date",1005
Member,Omni,p12345,BRD_01/HF_RD1.3,Create Patient Information,BRD_01/HF_RD1.3_TC1,Create Patient Information,Manage Patient and Book Appointment,BRD_01/HF_RD1.3_TC1_4,"The system  displays Patient Information like Patient Medical History , Patient Medical Information and if insured: Patient Plan Management or if not: Patient Bill Management.",create the patient information,BRD_01/HF_RD1.3_F1,Patient information functionality,component-6,1006,1004,Appointment ,"Patient name,doctor name, availability  of doctor  and appointment date",The user is at the main menu,,,,"Patient name,doctor name, availability  of doctor  and appointment date",1005
Member,Omni,p12345,BRD_01/HF_RD1.3,Create Patient Information,BRD_01/HF_RD1.3_TC1,Create Patient Information,Manage Patient and Book Appointment,BRD_01/HF_RD1.3_TC1_6,"New patient information added  ,saved  and displays:  ‘Record Updated’",Save the new patient information in database and The system displays:  ‘Record Updated’ on successful,BRD_01/HF_RD1.3_F3,Patient information functionality,component-8,1009,1004,Appointment ,"Patient name,doctor name, availability  of doctor  and appointment date",The user is at the main menu,,,,"Patient name,doctor name, availability  of doctor  and appointment date",1005
Member,Omni,p12345,BRD_01/HF_RD1.3,Create Patient Information,BRD_01/HF_RD1.3_TC1,Create Patient Information,Manage Patient and Book Appointment,BRD_01/HF_RD1.3_TC1_7,"The system creates a Patient Plan Management tab for Patients with health plans, or a Patient Bill Management tab for Patients without.",Patients with health plan,BRD_01/HF_RD1.3_F3,Patient information functionality,component-5,1005,1004,Appointment ,"Patient name,doctor name, availability  of doctor  and appointment date",The user is at the main menu,,,,"Patient name,doctor name, availability  of doctor  and appointment date",1005
Member,Omni,p12345,BRD_02/PS_OS1.19,Make New Appointment and My Appointment,BRD_02/PS_OS1.19_TC12,Make New Appointment and My Appointment,Make a New Appointment and fill up the required steps and press “Confirm”.,BRD_02/PS_OS1.19_TC12_1,Check whether date selected is  at least 7 days after current date,Information message displayed to indicate successful booking.,BRD_02/PS_OS1.19_F1,Make New Appointment and My Appointment,component-9,1003,1041,Appointment ,"Appointment_ID ,Appointment_Date,Doctor_ID, Doctor_name, specialty and hospital_name",Make New Appointment and My Appointment,,,,"Appointment_ID ,Appointment_Date,Doctor_ID, Doctor_name, specialty and hospital_name",1039
Member,Omni,p12345,BRD_02/PS_OS1.19,Make New Appointment and My Appointment,BRD_02/PS_OS1.19_TC12,Make New Appointment and My Appointment,Make a New Appointment and fill up the required steps and press “Confirm”.,BRD_02/PS_OS1.19_TC12_2,Validate if  reocrd has prior appointment.Check whether date selected is  at least 7 days after current date,"Warning message displayed to deny booking, future appointment details: date and time are shown",BRD_02/PS_OS1.19_F1,Make New Appointment and My Appointment,component-8,1009,1041,Appointment ,"Appointment_ID ,Appointment_Date,Doctor_ID, Doctor_name, specialty and hospital_name",Make New Appointment and My Appointment,,,,"Policy,plan",1015
Member,Omni,p12345,BRD_02/PS_OS1.19,Make New Appointment and My Appointment,BRD_02/PS_OS1.19_TC12,Make New Appointment and My Appointment,Make a New Appointment and fill up the required steps and press “Confirm”.,BRD_02/PS_OS1.19_TC12_4,Validate the fileds for appointment,An email will be sent to person who booked his appointment to inform about the status change.,BRD_02/PS_OS1.19_F1,Make New Appointment and My Appointment,component-1,1008,1041,Appointment ,"Appointment_ID ,Appointment_Date,Doctor_ID, Doctor_name, specialty and hospital_name",Make New Appointment and My Appointment,,,,"Appointment_ID ,Appointment_Date,Doctor_ID, Doctor_name, specialty and hospital_name",1039
Member,Omni,p12345,BRD_01/HF_RD1.7,Submit Health Care Claim,BRD_01/HF_RD1.7_TC1,Health Care Claim,Patient Plan Management,BRD_01/HF_RD1.7_TC1_2,The user selects the link: Submit Health Care Claim,Display Health Care Claim form,BRD_01/HF_RD1.7_F1,Patient Plan Management functionality,component-5,1005,1009,Claim,"Claim_ID,Patient_Id","The user has retrieved a Patient record.  If the Patient is a member of a health plan, the Patient Plan Management tab exists.",,,,"Claim_ID,Patient_Id",1017
Member,Omni,p12345,BRD_01/HF_RD1.7,Submit Health Care Claim,BRD_01/HF_RD1.7_TC1,Health Care Claim,Patient Plan Management,BRD_01/HF_RD1.7_TC1_3,"The system brings up the Health Care Claim Formand automatically displays Patient name, insurance, group no, and date.",Display Health Care Claim form,BRD_01/HF_RD1.7_F1,Patient Plan Management functionality,component-5,1005,1010,Claim," Claim_ID,Patient_Id,Patient name, insurance, group no, and date.","The user has retrieved a Patient record.  If the Patient is a member of a health plan, the Patient Plan Management tab exists.",,,,"Marital,Spouse coverage ,Spouse Gender",1010
Member,Omni,p12345,BRD_01/HF_RD1.7,Submit Health Care Claim,BRD_01/HF_RD1.7_TC1,Health Care Claim,Patient Plan Management,BRD_01/HF_RD1.7_TC1_4,The user selects New ,Display Health Care Claim form,BRD_01/HF_RD1.7_F1,Patient Plan Management functionality,component-7,1010,1010,Claim," Claim_ID,Patient_Id,Patient name, insurance, group no, and date.","The user has retrieved a Patient record.  If the Patient is a member of a health plan, the Patient Plan Management tab exists.",,,," Claim_ID,Patient_Id,Patient name, insurance, group no, and date.",1018
Member,Omni,p12345,BRD_01/HF_RD1.7,Submit Health Care Claim,BRD_01/HF_RD1.7_TC2,Health Care Claim,For each Health Care Claim,BRD_01/HF_RD1.7_TC2_1,"The system creates a popup window requesting diagnosis, service provided, price, and any notes.","Display diagnosis, service provided, price",BRD_01/HF_RD1.7_F1,Patient Plan Management functionality,component-8,1009,1010,Claim," Claim_ID,Patient_Id,Patient name, insurance, group no, and date.","The user has retrieved a Patient record.  If the Patient is a member of a health plan, the Patient Plan Management tab exists.",,,," Claim_ID,Patient_Id,Patient name, insurance, group no, and date.",1018
Member,Omni,p12345,BRD_01/HF_RD1.7,Submit Health Care Claim,BRD_01/HF_RD1.7_TC2,Health Care Claim,For each Health Care Claim,BRD_01/HF_RD1.7_TC2_2,The user minimally enters the diagnosis and service provided and selects Add,Display diagnosis and service provided,BRD_01/HF_RD1.7_F1,Patient Plan Management functionality,component-2,1007,1010,Claim," Claim_ID,Patient_Id,Patient name, insurance, group no, and date.","The user has retrieved a Patient record.  If the Patient is a member of a health plan, the Patient Plan Management tab exists.",,,," Claim_ID,Patient_Id,Patient name, insurance, group no, and date.",1018
Member,Omni,p12345,BRD_01/HF_RD1.7,Submit Health Care Claim,BRD_01/HF_RD1.7_TC3,Health Care Claim,The system displays the new item on Form 6.7 Health Care Claim.,BRD_01/HF_RD1.7_TC3_1,The user presses Submit,Succefully Submit,BRD_01/HF_RD1.7_F1,Patient Plan Management functionality,component-9,1003,1010,Claim," Claim_ID,Patient_Id,Patient name, insurance, group no, and date.","The user has retrieved a Patient record.  If the Patient is a member of a health plan, the Patient Plan Management tab exists.",,,," Claim_ID,Patient_Id,Patient name, insurance, group no, and date.",1018
Member,Omni,p12345,BRD_01/HF_RD1.7,Submit Health Care Claim,BRD_01/HF_RD1.7_TC3,Health Care Claim,The system displays the new item on Form 6.7 Health Care Claim.,BRD_01/HF_RD1.7_TC3_2,The system submits the claim to the Health Plan,Update Claim Table,BRD_01/HF_RD1.7_F1,Patient Plan Management functionality,component-2,1007,1010,Claim," Claim_ID,Patient_Id,Patient name, insurance, group no, and date.","The user has retrieved a Patient record.  If the Patient is a member of a health plan, the Patient Plan Management tab exists.",,,," Claim_ID,Patient_Id,Patient name, insurance, group no, and date.",1018
Member,Omni,p12345,BRD_01/HF_RD1.8,Request Status on Care Claim,BRD_01/HF_RD1.8_TC1,Claim Details and Status,Check Claim status in Patient Plan Management,BRD_01/HF_RD1.8_TC1_2,The user selects the link:  Determine Status of Health Care Claim,Claim status in Patient Plan Management,BRD_01/HF_RD1.8_F1,Patient Plan Management functionality,component-4,1001,1010,Claim," Claim_ID,Patient_Id,Patient name, insurance, group no, and date.",The use case begins when the user selects the tab: Patient Plan Management.,,,," Claim_ID,Patient_Id,Patient name, insurance, group no, and date.",1018
Member,Omni,p12345,BRD_01/HF_RD1.8,Request Status on Care Claim,BRD_01/HF_RD1.8_TC1,Claim Details and Status,Check Claim status in Patient Plan Management,BRD_01/HF_RD1.8_TC1_3,"The system brings up the Health Care Claim Status Form,  displaying Patient name, insurance, and group number.",Claim status in Patient Plan Management,BRD_01/HF_RD1.8_F1,Patient Plan Management functionality,component-4,1001,1010,Claim," Claim_ID,Patient_Id,Patient name, insurance, group no, and date.",The use case begins when the user selects the tab: Patient Plan Management.,,,," Claim_ID,Patient_Id,Patient name, insurance, group no, and date.",1018
Member,Omni,p12345,BRD_01/HF_RD1.8,Request Status on Care Claim,BRD_01/HF_RD1.8_TC1,Claim Details and Status,Check Claim status in Patient Plan Management,BRD_01/HF_RD1.8_TC1_4,The user enters a date or claim number (or both).,Claim status in Patient Plan Management,BRD_01/HF_RD1.8_F1,Patient Plan Management functionality,component-9,1003,1010,Claim," Claim_ID,Patient_Id,Patient name, insurance, group no, and date.",The use case begins when the user selects the tab: Patient Plan Management.,,,," Claim_ID,Patient_Id,Patient name, insurance, group no, and date.",1018
Member,Omni,p12345,BRD_01/HF_RD1.8,Request Status on Care Claim,BRD_01/HF_RD1.8_TC1,Claim Details and Status,Check Claim status in Patient Plan Management,BRD_01/HF_RD1.8_TC1_5,The system requests the information from the Insurance Plan ,Claim status in Patient Plan Management,BRD_01/HF_RD1.8_F1,Patient Plan Management functionality,component-5,1005,1010,Claim," Claim_ID,Patient_Id,Patient name, insurance, group no, and date.",The use case begins when the user selects the tab: Patient Plan Management.,,,,"Marital,Spouse coverage ,Spouse Gender,Spouse DOB",1011
Member,Omni,p12345,BRD_01/HF_RD1.8,Request Status on Care Claim,BRD_01/HF_RD1.8_TC1,Claim Details and Status,Check Claim status in Patient Plan Management,BRD_01/HF_RD1.8_TC1_6,"The system displays the Claim number, Date, and Status of the claim or the next later claim ",Claim status in Patient Plan Management,BRD_01/HF_RD1.8_F1,Patient Plan Management functionality,component-10,1002,1011,Claim," Claim_ID,Patient_Id,Patient name, insurance, group no, claim status and date.",The use case begins when the user selects the tab: Patient Plan Management.,,,," Claim_ID,Patient_Id,Patient name, insurance, group no, claim status and date.",1019
Member,Omni,p12345,SSIS-001_2.1.1.a,Healthcare claims Submitted Electronically  to MMIS must conform to the ANSI X.12 standards for healthcare claims.,SSIS-001_2.1.1.a.TC1,Validate Healthcare Claims Submitted Electronically to MMIS  ,Verify electronically submitted claim meets ANSI X12 Standards ,SSIS-001_2.1.1.a.TC1_1,Consume incoming electronic claim,Claim EK5P5T25L01 successfully reaches MMIS,SSIS-001_2.1.1.a_F1,Claims Consumption,component-6,1006,1067,Claims,"Claim_ID,Submission_EDI_Message_Type",Claim is sent to MMIS,Claims,Claim_ID,"claims, ANSI X12, Healthcare, MMIS","Claim_ID='EK5P5T25L1',Submission_EDI_Message_Type='837'",1083
Member,Omni,p12345,SSIS-001_2.1.1.a,Healthcare claims Submitted Electronically  to MMIS must conform to the ANSI X.12 standards for healthcare claims.,SSIS-001_2.1.1.a.TC1,Validate Healthcare Claims Submitted Electronically to MMIS  ,Verify electronically submitted claim meets ANSI X12 Standards ,SSIS-001_2.1.1.a.TC1_2,Identify electronic claim ID and message type,Message type identified as EDI 837 and Claim ID identified as EK5P5T25L01,SSIS-001_2.1.1.a_F2,Claims Validation,component-1,1008,1068,Claims,"Claim_ID,Submission_EDI_Message_Type",Claim is sent to MMIS,Claims,"Claim_ID, Submission_EDI_Message_Type","claims, ANSI X12, Healthcare, MMIS","Claim_ID='EK5P5T25L1',Submission_EDI_Message_Type='837'",1083
Member,Omni,p12345,SSIS-001_2.1.1.a,Healthcare claims Submitted Electronically  to MMIS must conform to the ANSI X.12 standards for healthcare claims.,SSIS-001_2.1.1.a.TC1,Validate Healthcare Claims Submitted Electronically to MMIS  ,Verify electronically submitted claim meets ANSI X12 Standards ,SSIS-001_2.1.1.a.TC1_3,Search Existing Claims with identified claim ID,Claim doesn't exist in DB,SSIS-001_2.1.1.a_F2,Claims Validation,component-1,1008,1068,Claims,"Claim_ID,Submission_EDI_Message_Type",Claim is sent to MMIS,Claims,"Claim_ID, Submission_EDI_Message_Type","claims, ANSI X12, Healthcare, MMIS","Claim_ID='EK5P5T25L1',Submission_EDI_Message_Type='837'",1083
